index,latency_s,arrival_time,sent_gps_time,payload
37,1,1773983458,1773983457,"{""worker_id"": 10,""event"":""NOISE_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:10:57"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":115,""fall_detection"":0.00,""aqi_uba"":0,""aqi_pm25_us"":0,""aqi_pm100_us"":0}"
38,1,1773983462,1773983461,"{""worker_id"": 10,""event"":""AIR_QUALITY_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:11:01"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":0,""fall_detection"":0.00,""aqi_uba"":2,""aqi_pm25_us"":150,""aqi_pm100_us"":50}"
39,0,1773983468,1773983468,"{""worker_id"": 10,""event"":""NOISE_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:11:08"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":115,""fall_detection"":0.00,""aqi_uba"":0,""aqi_pm25_us"":0,""aqi_pm100_us"":0}"
40,1,1773983472,1773983471,"{""worker_id"": 10,""event"":""AIR_QUALITY_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:11:11"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":0,""fall_detection"":0.00,""aqi_uba"":2,""aqi_pm25_us"":150,""aqi_pm100_us"":50}"
41,1,1773983478,1773983477,"{""worker_id"": 10,""event"":""NOISE_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:11:17"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":115,""fall_detection"":0.00,""aqi_uba"":0,""aqi_pm25_us"":0,""aqi_pm100_us"":0}"
42,2,1773983483,1773983481,"{""worker_id"": 10,""event"":""AIR_QUALITY_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:11:21"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":0,""fall_detection"":0.00,""aqi_uba"":2,""aqi_pm25_us"":150,""aqi_pm100_us"":50}"
43,1,1773983488,1773983487,"{""worker_id"": 10,""event"":""NOISE_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:11:27"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":115,""fall_detection"":0.00,""aqi_uba"":0,""aqi_pm25_us"":0,""aqi_pm100_us"":0}"
44,2,1773983493,1773983491,"{""worker_id"": 10,""event"":""AIR_QUALITY_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:11:31"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":0,""fall_detection"":0.00,""aqi_uba"":2,""aqi_pm25_us"":150,""aqi_pm100_us"":50}"
45,0,1773983498,1773983498,"{""worker_id"": 10,""event"":""NOISE_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:11:38"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":115,""fall_detection"":0.00,""aqi_uba"":0,""aqi_pm25_us"":0,""aqi_pm100_us"":0}"
46,2,1773983503,1773983501,"{""worker_id"": 10,""event"":""AIR_QUALITY_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:11:41"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":0,""fall_detection"":0.00,""aqi_uba"":2,""aqi_pm25_us"":150,""aqi_pm100_us"":50}"
