system_timestamp,event_type,esp32_timestamp_ms,duration_us,success
2026-03-22T22:56:30.477738,A,1203894,1267,1
2026-03-22T22:56:30.526942,A,1203926,1272,1
2026-03-22T22:56:30.551333,A,1203949,1452,1
2026-03-22T22:56:30.576836,A,1203971,1550,1
2026-03-22T22:56:30.600598,A,1203994,1822,1
2026-03-22T22:56:30.626139,A,1204026,1557,1
2026-03-22T22:56:30.650121,A,1204049,1432,1
2026-03-22T22:56:30.675053,A,1204071,1571,1
2026-03-22T22:56:30.726065,A,1204093,1414,1
2026-03-22T22:56:30.749633,A,1204126,1471,1
2026-03-22T22:56:30.799051,A,1204170,1557,1
2026-03-22T22:56:30.824357,A,1204193,1413,1
2026-03-22T22:56:30.847961,A,1204225,1495,1
2026-03-22T22:56:30.874005,A,1204248,1449,1
2026-03-22T22:56:30.924118,A,1204270,1642,1
2026-03-22T22:56:30.949422,A,1204292,1521,1
2026-03-22T22:56:30.973841,A,1204324,1444,1
2026-03-22T22:56:30.999379,A,1204347,1458,1
2026-03-22T22:56:31.024264,A,1204369,1526,1
2026-03-22T22:56:31.049293,A,1204402,1474,1
2026-03-22T22:56:31.074228,A,1204424,1485,1
2026-03-22T22:56:31.099266,A,1204446,1476,1
2026-03-22T22:56:31.124229,A,1204469,2150,1
2026-03-22T22:56:31.149764,A,1204502,1520,1
2026-03-22T22:56:31.173787,A,1204524,1466,1
2026-03-22T22:56:31.199440,A,1204547,1451,1
2026-03-22T22:56:31.224061,A,1204569,1505,1
2026-03-22T22:56:31.249001,A,1204602,1507,1
2026-03-22T22:56:31.274193,A,1204624,1450,1
2026-03-22T22:56:31.297791,A,1204646,1530,1
2026-03-22T22:56:31.349081,A,1204669,1415,1
2026-03-22T22:56:31.374188,A,1204700,1494,1
2026-03-22T22:56:31.399233,A,1204723,1464,1
2026-03-22T22:56:31.423776,A,1204778,1523,1
2026-03-22T22:56:31.449546,A,1204800,1471,1
2026-03-22T22:56:31.473892,A,1204822,1521,1
2026-03-22T22:56:31.499521,A,1204845,1387,1
2026-03-22T22:56:31.523893,A,1204877,1507,1
2026-03-22T22:56:31.573855,A,1204899,1502,1
2026-03-22T22:56:31.598323,A,1204922,1431,1
2026-03-22T22:56:31.623800,A,1204977,1469,1
2026-03-22T22:56:31.649399,A,1204999,1503,1
2026-03-22T22:56:31.697876,A,1205021,1270,1
2026-03-22T22:56:31.717326,A,1205043,1484,1
2026-03-22T22:56:31.747736,A,1205076,1756,1
2026-03-22T22:56:31.767359,A,1205099,1555,1
